source_id,target_id,type,properties
2,3,属于,{}
2,4,属于,{}
10,11,属于,{}
10,12,属于,{}
13,2,属于,{}
13,15,包含,{}
13,14,包含,{}
14,16,实现方式,{}
15,18,实现方式,{}
15,17,实现方式,{}
15,5,实现方式,{}
15,20,包含,{}
15,21,包含,{}
15,19,包含,{}
57,23,属于,{}
25,23,属于,{}
13,23,属于,{}
25,24,属于,{}
13,24,属于,{}
26,28,包含,{}
26,27,包含,{}
29,28,包含,{}
29,27,包含,{}
14,30,实现方式,{}
15,29,实现方式,{}
29,31,实现方式,{}
15,30,实现方式,{}
14,29,实现方式,{}
14,31,实现方式,{}
29,30,实现方式,{}
15,31,实现方式,{}
29,32,包含,{}
29,33,应用场景,{}
29,34,应用场景,{}
36,35,属于,{}
36,13,属于,{}
36,24,属于,{}
26,37,包含,{}
36,38,应用场景,{}
26,38,包含,{}
36,37,包含,{}
39,40,属于,{}
36,40,属于,{}
36,41,属于,{}
39,41,属于,{}
39,36,属于,{}
36,42,应用场景,{}
36,43,应用场景,{}
44,18,包含,{}
44,45,包含,{}
46,18,属于,{}
57,18,属于,{}
47,18,属于,{}
47,57,属于,{}
48,46,属于,{}
49,48,属于,{}
49,50,属于,{}
49,57,属于,{}
49,18,属于,{}
51,18,属于,{}
51,57,属于,{}
51,52,属于,{}
51,47,属于,{}
47,54,属于,{}
47,52,属于,{}
51,53,属于,{}
51,46,属于,{}
47,46,属于,{}
51,54,属于,{}
47,53,属于,{}
56,51,属于,{}
56,57,属于,{}
55,51,属于,{}
55,57,属于,{}
51,56,属于,{}
46,61,包含,{}
12,59,包含,{}
46,59,包含,{}
46,58,包含,{}
12,60,包含,{}
12,61,包含,{}
46,60,包含,{}
12,58,包含,{}
58,60,属于,{}
58,59,属于,{}
62,2,包含,{}
45,2,包含,{}
63,2,包含,{}
62,45,包含,{}
62,63,包含,{}
63,44,包含,{}
62,66,属于,{}
66,64,包含,{}
66,65,包含,{}
64,66,属于,{}
65,66,属于,{}
66,69,包含,{}
5,69,包含,{}
5,68,包含,{}
66,68,包含,{}
10,72,包含,{}
66,70,包含,{}
66,71,包含,{}
10,42,包含,{}
10,71,包含,{}
66,42,包含,{}
10,70,包含,{}
66,72,包含,{}
70,42,实现方式,{}
73,42,实现方式,{}
70,73,实现方式,{}
73,36,实现方式,{}
42,36,实现方式,{}
70,36,实现方式,{}
76,10,包含,{}
76,74,包含,{}
10,75,包含,{}
76,75,包含,{}
10,74,包含,{}
79,77,包含,{}
10,77,包含,{}
10,78,包含,{}
79,10,包含,{}
79,78,包含,{}
10,2,属于,{}
83,84,包含,{}
83,82,包含,{}
83,81,包含,{}
83,85,包含,{}
81,80,属于,{}
82,80,属于,{}
83,80,属于,{}
84,80,属于,{}
85,80,属于,{}
85,87,包含,{}
85,86,包含,{}
86,80,属于,{}
87,80,属于,{}
81,88,包含,{}
88,80,属于,{}
89,80,属于,{}
82,91,包含,{}
82,90,包含,{}
90,80,属于,{}
91,80,属于,{}
92,10,属于,{}
89,57,属于,{}
80,10,属于,{}
89,10,属于,{}
92,57,属于,{}
92,80,属于,{}
80,92,实现方式,{}
84,92,实现方式,{}
91,48,实现方式,{}
94,2,属于,{}
94,26,属于,{}
95,22,应用场景,{}
95,94,属于,{}
96,22,应用场景,{}
96,97,应用场景,{}
96,94,属于,{}
99,94,实现方式,{}
98,94,实现方式,{}
99,22,实现方式,{}
98,22,实现方式,{}
12,101,包含,{}
99,101,包含,{}
12,100,包含,{}
99,100,包含,{}
