source_id,target_id,type,properties
134,205,研究对象,"{""description"": ""后者是前者的主要研究对象或核心内容。""}"
134,166,研究对象,"{""description"": ""后者是前者的主要研究对象或核心内容。""}"
134,92,研究对象,"{""description"": ""后者是前者的主要研究对象或核心内容。""}"
134,184,分类,"{""description"": ""前者可以分类为后者，或者后者是前者的一个类别。""}"
134,225,分类,"{""description"": ""前者可以分类为后者，或者后者是前者的一个类别。""}"
134,135,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,151,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,217,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,215,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,154,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,71,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,80,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,131,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
134,161,常用算法,"{""description"": ""后者是应用于前者的常见算法。""}"
134,126,常用算法,"{""description"": ""后者是应用于前者的常见算法。""}"
134,48,常用算法,"{""description"": ""后者是应用于前者的常见算法。""}"
134,140,常用算法,"{""description"": ""后者是应用于前者的常见算法。""}"
134,125,常用算法,"{""description"": ""后者是应用于前者的常见算法。""}"
166,92,也称为,"{""description"": ""两者是同一概念的不同命名。""}"
205,222,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
205,184,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
205,155,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
205,72,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
92,227,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
92,209,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
92,182,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
92,69,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
185,184,属于,"{""description"": ""前者属于后者的范畴。""}"
151,184,属于,"{""description"": ""前者属于后者的范畴。""}"
217,184,属于,"{""description"": ""前者属于后者的范畴。""}"
18,184,属于,"{""description"": ""前者属于后者的范畴。""}"
135,225,属于,"{""description"": ""前者属于后者的范畴。""}"
109,225,属于,"{""description"": ""前者属于后者的范畴。""}"
155,225,属于,"{""description"": ""前者属于后者的范畴。""}"
72,225,属于,"{""description"": ""前者属于后者的范畴。""}"
154,225,属于,"{""description"": ""前者属于后者的范畴。""}"
71,225,属于,"{""description"": ""前者属于后者的范畴。""}"
135,132,分类,"{""description"": ""前者可以分类为后者，或者后者是前者的一个类别。""}"
135,91,分类,"{""description"": ""前者可以分类为后者，或者后者是前者的一个类别。""}"
135,124,分类,"{""description"": ""前者可以分类为后者，或者后者是前者的一个类别。""}"
135,191,分类,"{""description"": ""前者可以分类为后者，或者后者是前者的一个类别。""}"
180,146,特性,"{""description"": ""后者是前者的重要特性或性质。""}"
180,171,特性,"{""description"": ""后者是前者的重要特性或性质。""}"
180,62,特性,"{""description"": ""后者是前者的重要特性或性质。""}"
180,199,特性,"{""description"": ""后者是前者的重要特性或性质。""}"
180,200,特性,"{""description"": ""后者是前者的重要特性或性质。""}"
181,138,度量,"{""description"": ""后者用于度量前者的性能或指标。""}"
181,175,度量,"{""description"": ""后者用于度量前者的性能或指标。""}"
185,151,受限,"{""description"": ""前者是后者在操作或条件上受到限制的变体。""}"
185,217,受限,"{""description"": ""前者是后者在操作或条件上受到限制的变体。""}"
185,18,受限,"{""description"": ""前者是后者在操作或条件上受到限制的变体。""}"
185,135,推广,"{""description"": ""前者是后者的推广形式。""}"
185,109,推广,"{""description"": ""前者是后者的推广形式。""}"
155,154,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
155,30,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
72,143,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
72,136,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
185,232,顺序存储,"{""description"": ""前者采用顺序存储结构（如数组）来实现。""}"
185,50,链式存储,"{""description"": ""前者采用链式存储结构（如指针链接）来实现。""}"
185,58,链式存储,"{""description"": ""前者采用链式存储结构（如指针链接）来实现。""}"
185,117,链式存储,"{""description"": ""前者采用链式存储结构（如指针链接）来实现。""}"
185,224,链式存储,"{""description"": ""前者采用链式存储结构（如指针链接）来实现。""}"
185,189,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
185,188,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
188,47,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
188,163,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
188,187,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
188,186,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
232,235,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
232,234,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
234,236,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
234,233,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
50,54,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
50,53,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
53,88,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
53,98,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
53,52,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
53,51,包括,"{""description"": ""前者包含后者，后者是前者的组成部分或子集。""}"
