source_id,target_id,type,properties
23,21,IS_A,"{""description"": ""属于排序算法""}"
24,21,IS_A,"{""description"": ""属于排序算法""}"
25,22,IS_A,"{""description"": ""属于搜索算法""}"
3,1,USES,"{""context"": ""Implementation""}"
3,2,USES,"{""context"": ""Implementation""}"
25,1,USES,"{""requirement"": ""Sorted""}"
26,6,OPERATES_ON,"{""target"": ""Weighted Graph""}"
1,51,TIME_COMPLEXITY,"{""operation"": ""Access""}"
2,52,TIME_COMPLEXITY,"{""operation"": ""Access""}"
23,54,TIME_COMPLEXITY,"{""case"": ""Average""}"
25,53,TIME_COMPLEXITY,"{""case"": ""Worst""}"
5,41,RELATED_TO,"{""concept"": ""Traversal""}"
24,41,RELATED_TO,"{""concept"": ""Divide and Conquer""}"
