id,name,labels,properties
1,Array,Data Structure|Linear,"{""description"": ""连续内存分配"", ""access_time"": ""O(1)"", ""insert_time"": ""O(n)""}"
2,Linked List,Data Structure|Linear,"{""description"": ""链式存储结构"", ""access_time"": ""O(n)"", ""insert_time"": ""O(1)""}"
3,Stack,Data Structure|Linear,"{""description"": ""后进先出 (LIFO)"", ""operations"": ""push, pop""}"
4,Queue,Data Structure|Linear,"{""description"": ""先进先出 (FIFO)"", ""operations"": ""enqueue, dequeue""}"
5,Tree,Data Structure|Non-Linear,"{""description"": ""层级结构"", ""root"": ""Root Node""}"
6,Graph,Data Structure|Non-Linear,"{""description"": ""节点和边的集合"", ""types"": ""Directed, Undirected""}"
7,Hash Table,Data Structure,"{""description"": ""键值对映射"", ""collision_resolution"": ""Chaining, Open Addressing""}"
8,Heap,Data Structure|Tree-based,"{""description"": ""优先队列实现"", ""types"": ""Min-Heap, Max-Heap""}"
21,Sorting,Algorithm,"{""description"": ""将元素按顺序排列""}"
22,Searching,Algorithm,"{""description"": ""在数据集中查找特定元素""}"
23,Bubble Sort,Algorithm|Sorting,"{""complexity"": ""O(n^2)"", ""stable"": ""Yes""}"
24,Quick Sort,Algorithm|Sorting,"{""complexity"": ""O(n log n)"", ""stable"": ""No""}"
25,Binary Search,Algorithm|Searching,"{""complexity"": ""O(log n)"", ""precondition"": ""Sorted Array""}"
26,Dijkstra,Algorithm|Graph Algorithm,"{""description"": ""最短路径算法"", ""weight"": ""Non-negative""}"
41,Recursion,Concept,"{""description"": ""函数调用自身""}"
42,Time Complexity,Concept,"{""notation"": ""Big O""}"
43,Space Complexity,Concept,"{""notation"": ""Big O""}"
51,O(1),Complexity,"{""name"": ""Constant Time""}"
52,O(n),Complexity,"{""name"": ""Linear Time""}"
53,O(log n),Complexity,"{""name"": ""Logarithmic Time""}"
54,O(n^2),Complexity,"{""name"": ""Quadratic Time""}"
