id,name,labels,properties
1,AOE网,具体技术,"{""description"": ""Activity On Edge Network，用边表示活动的网。""}"
2,AOV网,具体技术,"{""description"": ""Activity On Vertex Network，用顶点表示活动的网。""}"
3,B+树,核心组件,"{""description"": ""一种多路平衡查找树，常用于数据库索引。""}"
4,B树,核心组件,"{""description"": ""一种自平衡的树数据结构，维护排序数据并允许搜索、顺序访问。""}"
5,C语言,知识领域,"{""description"": ""一种通用的、过程式的计算机编程语言。""}"
6,Dijkstra算法,具体技术,"{""description"": ""用于计算图中单源最短路径的贪心算法。""}"
7,Floyd算法,具体技术,"{""description"": ""解决任意两点间最短路径问题的动态规划算法。""}"
8,KMP算法,具体技术,"{""description"": ""一种改进的字符串匹配算法，利用匹配失败后的信息减少回溯。""}"
9,Kruskal算法,具体技术,"{""description"": ""一种求最小生成树的算法，基于边的权重排序。""}"
10,LL平衡旋转,基础术语,"{""description"": ""AVL树中用于修复左-左不平衡的旋转操作。""}"
11,LR平衡旋转,基础术语,"{""description"": ""AVL树中用于修复左-右不平衡的旋转操作。""}"
12,Prim算法,具体技术,"{""description"": ""用于求加权连通图最小生成树的算法。""}"
13,RL平衡旋转,基础术语,"{""description"": ""AVL树中用于修复右-左不平衡的旋转操作。""}"
14,RR平衡旋转,基础术语,"{""description"": ""AVL树中用于修复右-右不平衡的旋转操作。""}"
15,一维数组,具体技术,"{""description"": ""只有一个下标的数组，是最简单的数组形式。""}"
16,中序线索二叉树,具体技术,"{""description"": ""利用空指针域存储中序遍历的前驱和后继信息的二叉树。""}"
17,中序遍历,具体技术,"{""description"": ""二叉树遍历方式：左子树 -> 根 -> 右子树。""}"
18,串,核心类别,"{""description"": ""字符串，由零个或多个字符组成的有限序列。""}"
19,串的基本概念,概念细分,"{""description"": ""涉及串的长度、相等、子串等基础定义。""}"
20,串的存储结构,概念细分,"{""description"": ""串在计算机中的存储方式，如定长顺序存储、堆分配存储。""}"
21,串长,基础术语,"{""description"": ""串中包含字符的个数。""}"
22,主串,基础术语,"{""description"": ""包含子串的那一个字符串。""}"
23,二叉平衡树,概念细分,"{""description"": ""AVL树，任意节点的左右子树高度差绝对值不超过1。""}"
24,二叉排序树,概念细分,"{""description"": ""左子树所有节点 < 根 < 右子树所有节点的二叉树。""}"
25,二叉排序树的删除,核心操作,"{""description"": ""在BST中移除节点并保持BST性质的操作。""}"
26,二叉排序树的定义,核心操作,"{""description"": ""一种特殊的二叉树，满足排序性质。""}"
27,二叉排序树的插入,核心操作,"{""description"": ""在BST中添加新节点的操作。""}"
28,二叉排序树的构造,核心操作,"{""description"": ""从一组数据构建二叉排序树的过程。""}"
29,二叉排序树的查找,核心操作,"{""description"": ""在BST中搜索特定值的操作。""}"
30,二叉树,核心类别,"{""description"": ""每个节点最多有两个子树的树结构。""}"
31,二叉树的遍历,概念细分,"{""description"": ""按某条搜索路径访问二叉树中每个结点。""}"
32,二叉树的链式存储结构,概念细分,"{""description"": ""使用指针（二叉链表）存储二叉树。""}"
33,二叉树的顺序存储结构,概念细分,"{""description"": ""使用数组存储二叉树，适合完全二叉树。""}"
34,交换排序,核心类别,"{""description"": ""两两比较待排序记录的关键字，发现两个记录的次序相反时即进行交换。""}"
35,伪随机序列法,具体技术,"{""description"": ""一种构造哈希冲突处理序列的方法。""}"
36,先序线索二叉树,具体技术,"{""description"": ""利用空指针域存储先序遍历的前驱和后继信息的二叉树。""}"
37,先序遍历,具体技术,"{""description"": ""二叉树遍历方式：根 -> 左子树 -> 右子树。""}"
38,入度,基础术语,"{""description"": ""有向图中指向某个顶点的边的数量。""}"
39,共享栈,核心组件,"{""description"": ""两个栈共享同一块连续内存空间，栈底分别在两端。""}"
40,关键字,基础术语,"{""description"": ""数据元素中用于识别该元素的某个数据项的值。""}"
41,关键路径,具体技术,"{""description"": ""AOE网中从源点到汇点最长的路径。""}"
42,内部排序,核心类别,"{""description"": ""数据元素全部存放在内存中的排序。""}"
43,再散列法,具体技术,"{""description"": ""发生冲突时计算另一个哈希函数地址的方法。""}"
44,冒泡排序,核心组件,"{""description"": ""通过重复遍历列表，比较相邻元素并交换来排序的算法。""}"
45,出度,基础术语,"{""description"": ""有向图中从某个顶点发出的边的数量。""}"
46,分块查找,核心组件,"{""description"": ""索引顺序查找，将表分成几块，块内无序，块间有序。""}"
47,初始化线性表,核心操作,"{""description"": ""构造一个空的线性表。""}"
