id,name,labels,properties
1,计算机科学,知识点,"{""source"": ""auto_extraction""}"
2,数据结构,知识点,"{""source"": ""auto_extraction""}"
3,核心,知识点,"{""source"": ""auto_extraction""}"
4,课程,知识点,"{""source"": ""auto_extraction""}"
5,存储,知识点,"{""source"": ""auto_extraction""}"
6,研究,知识点,"{""source"": ""auto_extraction""}"
7,运算,知识点,"{""source"": ""auto_extraction""}"
8,逻辑,知识点,"{""source"": ""auto_extraction""}"
9,密切相关,知识点,"{""source"": ""auto_extraction""}"
10,算法,知识点,"{""source"": ""auto_extraction""}"
11,效率,知识点,"{""source"": ""auto_extraction""}"
12,方法,知识点,"{""source"": ""auto_extraction""}"
13,线性表,知识点,"{""source"": ""auto_extraction""}"
14,顺序表,知识点,"{""source"": ""auto_extraction""}"
15,链表,知识点,"{""source"": ""auto_extraction""}"
16,数组,知识点,"{""source"": ""auto_extraction""}"
17,指针,知识点,"{""source"": ""auto_extraction""}"
18,节点,知识点,"{""source"": ""auto_extraction""}"
19,双向链表,知识点,"{""source"": ""auto_extraction""}"
20,循环链表,知识点,"{""source"": ""auto_extraction""}"
21,单链表,知识点,"{""source"": ""auto_extraction""}"
22,时间复杂度,知识点,"{""source"": ""auto_extraction""}"
23,后进先出,知识点,"{""source"": ""auto_extraction""}"
24,原则,知识点,"{""source"": ""auto_extraction""}"
25,栈是,知识点,"{""source"": ""auto_extraction""}"
26,基本操作,知识点,"{""source"": ""auto_extraction""}"
27,出栈,知识点,"{""source"": ""auto_extraction""}"
28,入栈,知识点,"{""source"": ""auto_extraction""}"
29,栈,知识点,"{""source"": ""auto_extraction""}"
30,顺序栈,知识点,"{""source"": ""auto_extraction""}"
31,链栈,知识点,"{""source"": ""auto_extraction""}"
32,表达式,知识点,"{""source"": ""auto_extraction""}"
33,递归,知识点,"{""source"": ""auto_extraction""}"
34,匹配,知识点,"{""source"": ""auto_extraction""}"
35,先进先出,知识点,"{""source"": ""auto_extraction""}"
36,队列,知识点,"{""source"": ""auto_extraction""}"
37,出队,知识点,"{""source"": ""auto_extraction""}"
38,入队,知识点,"{""source"": ""auto_extraction""}"
39,循环队列,知识点,"{""source"": ""auto_extraction""}"
40,版本,知识点,"{""source"": ""auto_extraction""}"
41,改进,知识点,"{""source"": ""auto_extraction""}"
42,广度优先搜索,知识点,"{""source"": ""auto_extraction""}"
43,任务调度,知识点,"{""source"": ""auto_extraction""}"
44,非线性,知识点,"{""source"": ""auto_extraction""}"
45,边,知识点,"{""source"": ""auto_extraction""}"
46,二叉树,知识点,"{""source"": ""auto_extraction""}"
47,树,知识点,"{""source"": ""auto_extraction""}"
48,完全二叉树,知识点,"{""source"": ""auto_extraction""}"
49,满二叉树,知识点,"{""source"": ""auto_extraction""}"
50,叶子,知识点,"{""source"": ""auto_extraction""}"
51,二叉搜索树,知识点,"{""source"": ""auto_extraction""}"
52,小于,知识点,"{""source"": ""auto_extraction""}"
53,左子,知识点,"{""source"": ""auto_extraction""}"
54,右子,知识点,"{""source"": ""auto_extraction""}"
55,平衡二叉树,知识点,"{""source"": ""auto_extraction""}"
56,AVL树,知识点,"{""source"": ""auto_extraction""}"
57,一种,知识点,"{""source"": ""auto_extraction""}"
58,前序遍历,知识点,"{""source"": ""auto_extraction""}"
